# TIME,X,Y,WIDTH,HEIGHT,LENGHT,CX,ANGLE,TRAVELED DISTANCE,RELATIVE VELOCITY,TOTAL RELATIVE VELOCITY
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.641543516850725268e+02
2.000000000000000164e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.000000000000000327e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.000000000000000152e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8.000000000000000654e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.000000000000000048e-04,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.200000000000000030e-04,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.399999999999999877e-04,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.600000000000000131e-04,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.800000000000000113e-04,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.000000000000000096e-04,5.630000000000000000e+02,2.330000000000000000e+02,1.000000000000000000e+02,1.200000000000000000e+02,5.500000000000000000e+01,6.128559567336989176e+02,1.518426935342012030e+01,nan,nan,nan
2.200000000000000078e-04,5.440000000000000000e+02,2.340000000000000000e+02,1.000000000000000000e+02,1.200000000000000000e+02,5.500000000000000000e+01,5.920174157730625666e+02,1.569700612457209843e+01,2.083854096063635097e+01,2.773075693174721437e+02,nan
2.400000000000000061e-04,5.440000000000000000e+02,2.340000000000000000e+02,1.000000000000000000e+02,1.200000000000000000e+02,5.500000000000000000e+01,5.920174157730625666e+02,1.569700612457209843e+01,0.000000000000000000e+00,nan,nan
2.599999999999999772e-04,5.220000000000000000e+02,2.330000000000000000e+02,1.000000000000000000e+02,1.200000000000000000e+02,5.500000000000000000e+01,5.709994623655913983e+02,1.544271201961992723e+01,2.101795340747116825e+01,2.796950891362082530e+02,nan
2.799999999999999755e-04,5.000000000000000000e+02,2.360000000000000000e+02,1.000000000000000000e+02,1.200000000000000000e+02,5.400000000000000000e+01,5.499535245200901272e+02,1.196164638699887028e+01,2.104593784550127111e+01,2.800674902800072914e+02,nan
2.999999999999999737e-04,5.020000000000000000e+02,2.320000000000000000e+02,1.000000000000000000e+02,1.200000000000000000e+02,5.400000000000000000e+01,5.499220849840752408e+02,9.984273993808573167e+00,3.143953601488647109e-02,nan,nan
3.200000000000000262e-04,4.830000000000000000e+02,2.320000000000000000e+02,1.000000000000000000e+02,1.200000000000000000e+02,5.500000000000000000e+01,5.291886587541695235e+02,1.024909416790080563e+01,2.073342622990571726e+01,2.759087616690175651e+02,nan
3.400000000000000244e-04,4.620000000000000000e+02,2.340000000000000000e+02,1.000000000000000000e+02,1.200000000000000000e+02,5.400000000000000000e+01,5.084561690843862038e+02,1.588163555436895003e+01,2.073248966978331964e+01,2.758962984542679351e+02,nan
3.600000000000000227e-04,4.640000000000000000e+02,2.340000000000000000e+02,1.000000000000000000e+02,1.200000000000000000e+02,5.400000000000000000e+01,5.084619269619269630e+02,1.752804138780573240e+01,5.757877540759182011e-03,nan,nan
3.800000000000000209e-04,4.450000000000000000e+02,2.350000000000000000e+02,1.000000000000000000e+02,1.200000000000000000e+02,5.400000000000000000e+01,4.875630557488594832e+02,1.679250568867309568e+01,2.089887121306747986e+01,2.781104103460061765e+02,nan
4.000000000000000192e-04,4.230000000000000000e+02,2.350000000000000000e+02,1.000000000000000000e+02,1.200000000000000000e+02,5.400000000000000000e+01,4.665868686868686837e+02,1.581212903122445823e+01,2.097618706199079952e+01,2.791392861283914613e+02,nan
4.200000000000000174e-04,4.230000000000000000e+02,2.350000000000000000e+02,1.000000000000000000e+02,1.200000000000000000e+02,5.400000000000000000e+01,4.665868686868686837e+02,1.581212903122445823e+01,0.000000000000000000e+00,nan,nan
